Unit - Thousand Barrels per day (kb/d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product - Crude oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALANCE - Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1269,1217,1204,1204,1204,1217,1216,1197,1188,1204,1186,1178,1144,1138,1133,1184,1163,1173,0,1176,1185,1195,1199,1123,1125,1137,1141,1133,1104,1145,1161,1182,1171,1184,1149,1091,1084,1085,1075,1069,1071,1065,1067,1063,997,1002,1037,1013,1036,966,979,1040,1054,1064,1062,1072,1070,1068,1063,1033,0
Angola,1600,1446,1599,1605,1645,1714,1709,1703,1751,1691,1735,1761,1790,1748,1760,1807,1727,1797,1729,1806,1762,1722,1740,1801,1765,1800,1765,1722,1770,1778,1762,1666,1507,1688,1639,1615,1649,1652,1651,1593,1662,1668,1680,1657,1609,1607,1548,1562,1498,1496,1498,1486,1448,1455,1481,1489,1457,1417,1445,1470,1423
Argentina,534.2857,531.1935,511.3,501.0645,532.3333,522.0645,525.4194,528.8667,535.2258,530.2667,521.3871,533.2581,528.8214,531.4839,533.3,536.3548,533.6333,532.1935,529.2258,530.1333,535.4194,532.1667,532.2258,524.9355,517.8966,521.6452,520.9667,499.129,500.5333,499.9032,515.7419,542.4333,507.3871,498.8,491.5161,486.5484,482.25,495.0323,489.1,487.4516,458.4667,470.2903,475.7097,477.2333,468.0968,487.0667,523.1935,476.9355,468.7857,483.9677,500.1,481.7742,481.7,480.4194,487.9677,495.3667,495.0323,492.6667,493.0968,493.0968,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,359.0491,341.3442,321.4452,313.6195,348.7798,335.7484,352.0271,336.1638,347.4487,361.133,356.3511,337.7832,318.7793,250.5395,296.7388,264.7834,336.4267,368.8145,369.5776,346.6772,338.0376,357.1905,342.8703,316.1631,304.5241,295.306,287.2768,270.6335,284.1228,307.2606,296.8321,293.8477,294.0342,289.9052,269.6161,258.4245,254.8545,272.6684,258.1023,274.7032,273.6095,278.7729,279.536,255.7368,268.5987,256.5253,243.6719,283.0969,288.3657,283.6056,268.3528,238.3305,269.1413,274.4489,263.5116,280.9688,296.069,300.1557,310.5673,302.6823,323.5666
Austria,17.356,18.6299,17.6075,18.1755,16.6684,17.0395,16.5851,16.4337,16.5851,16.9032,16.1307,17.0395,16.6014,16.1307,17.138,16.5851,17.138,17.0395,16.3579,15.9641,16.5851,16.4337,14.5404,16.1307,15.3003,17.7211,13.3817,14.086,19.0161,14.3132,14.7676,15.4946,14.3132,15.0251,13.8588,14.7676,14.5891,16.5851,12.4426,14.7676,13.1469,18.6299,10.9053,13.8512,13.6316,13.3817,13.4044,13.6316,14.8406,12.7228,13.3817,13.4044,13.3817,12.95,12.7228,13.6165,13.1772,13.3817,12.2685,12.7228,13.5829
Azerbaijan,803.8564,807.8471,836.2493,827.3419,801.3647,827.5797,814.5039,796.9427,798.8129,625.4673,781.6955,817.5945,811.4896,830.4326,816.1047,758.8723,758.6187,784.5484,786.4503,803.8213,789.0655,748.5463,736.049,778.8426,791.6397,810.4623,795.7143,794.0581,807.5063,806.8961,773.6123,708.7483,758.8723,678.2857,730.1055,743.1813,728.5771,694.2065,725.4537,726.3016,737.4913,739.3774,696.1084,735.526,761.9629,721.2773,741.5171,743.8945,736.2104,726.0639,744.37,737,728.156,718.4561,710.3729,715.627,707.0445,723.9797,712.0371,710.8484,715.9429
Bahrain,49.4843,50.639,48.642,49.4503,48.8877,49.9258,50.4013,50.116,48.4994,50.3617,48.2616,48.9748,48.1682,48.9748,49.1333,52.0655,56.2577,51.59,50.4013,51.0987,52.541,52.0813,53.4919,51.3523,48.5403,51.1145,49.8703,47.5484,50.116,48.4994,48.7371,48.1507,212.5413,183.7587,143.1206,206.5977,203.9911,205.6468,207.5883,208.0242,206.8513,208.4997,207.7865,210.2907,207.7865,208.571,119.5842,143.1206,161.6136,209.2129,209.7993,209.9261,206.6057,208.9752,206.1223,203.6577,205.8845,201.4467,195.4239,190.4313,204.5175
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0.6129,0.6429,0.6452,0.6333,0.6452,0.7333,0.7742,0.5806,0.7,0.7419,0.7,0.6774,0.6774,0.7241,0.6774,0.6333,0.6129,0,0,0,0,0,0,0,0.6129,0.6786,0.6452,0.6667,0.6129,0.5667,0.5806,0.6129,0.6667,0.6774,0.7,0.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,33.3693,33.4625,33.1065,33.2252,33.8422,32.9878,33.2252,32.616,33.2252,32.8613,32.7505,33.4625,33.632,33.4625,33.3517,33.4625,33.8422,31.5639,31.8012,34.0874,33.2252,33.1065,32.9878,33.4625,32.9797,32.9878,32.3708,33.9371,34.3327,32.7505,32.7505,32.616,32.9878,32.8613,32.7505,33.2252,34.4203,32.9878,33.3517,33.6998,32.8613,33.6998,32.9878,32.616,33.4625,33.1065,32.7505,33.4625,34.4203,33.4625,32.616,33.9371,34.3327,33.2252,33.2252,34.3327,34.4118,33.597,32.9878,33.4625,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,1.6774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,65.3214,62.1935,63.4333,65.2258,64.8333,65.1935,63.5806,63.4,62.5161,58.1333,58.129,61.0645,61.8929,62.1935,62.4333,68.2258,61.0667,62.1935,60.9032,60.3667,61.0645,0,0,58.9032,57.7241,58.129,56.9,56.2903,56.4333,55.0323,57.4194,59.5333,57.8387,56.2333,48.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2096.25,2124.2258,2152.7667,2195.0968,2251.5,2272.2581,2332.2258,2364.4333,2398,2363.3333,2503.2258,2475,2436.9286,2418.9355,2400.4667,2417.6774,2401.0333,2471,2552.0323,2399.0667,2411.6774,2384.8,2537.6774,2357.7742,2337.5517,2267.2581,2296.2333,2493.0968,2563.9667,2586.0968,2615,2677.4,2629.8387,2614.2333,2735.871,2692.0968,2680.8929,2555.6452,2550.5667,2653.0968,2679.2667,2632.5484,2586.3226,2663.0667,2637.3226,2605.8333,2622.9355,2626.3548,2628.6429,2566.871,2607.8,2615.871,2598.9,2583.3226,2525.4516,2489.4667,2618.0323,2571.4333,2694.6452,2634.9677,2493.75
